loss,mae,val_loss,val_mae
569.6431884765625,14.505705833435059,29.077238082885742,3.5417795181274414
56.71593475341797,5.71012020111084,6.122002601623535,1.6156386137008667
40.2860221862793,4.885758876800537,2.3438339233398438,1.0179165601730347
35.64496612548828,4.605663776397705,2.056708812713623,1.1166177988052368
32.29603576660156,4.384180545806885,2.0260322093963623,1.1733660697937012
29.630983352661133,4.193542957305908,4.7404303550720215,1.9859631061553955
24.976144790649414,3.813988447189331,13.454696655273438,3.557802438735962
19.113834381103516,3.294491767883301,21.563051223754883,4.560001850128174
14.96980094909668,2.8960347175598145,53.79106903076172,7.210572242736816
12.413702964782715,2.6195225715637207,59.46011734008789,7.545713424682617
