loss,mae,val_loss,val_mae
571.4954223632812,14.539202690124512,29.934551239013672,3.5971176624298096
56.6448860168457,5.695923328399658,6.500619888305664,1.7213497161865234
40.5736198425293,4.895768642425537,2.6020758152008057,1.126810073852539
35.73371505737305,4.611180305480957,1.971588134765625,1.0942966938018799
32.3541259765625,4.371908187866211,1.950574517250061,1.0744980573654175
29.094972610473633,4.141328811645508,8.349719047546387,2.774313449859619
23.66979217529297,3.706231117248535,10.521210670471191,3.141961097717285
18.542972564697266,3.2432494163513184,22.352792739868164,4.645533561706543
14.867069244384766,2.890533208847046,50.05807113647461,6.988278388977051
12.650124549865723,2.6534714698791504,74.35779571533203,8.465277671813965
